NB,ANOMALY,FULLTEXT
29743,0,جبهة النصرة ومعلمينهم الأتراك
29745,1,بداريا كان في جبهة النصرة بدرعا كان في جبهة النصرة عندك خلاف مع النصرة هي مشكلتك لوحدك لا تبث
29752,1,يا ابو الفرقان إذا ما كبرت مارح تصغر وإذا ماخربت مارح تعمر ليش موقفكم ضعيف نصيحة أتركوا المجاهدين ع
29753,1,ليش انت انظم من جبهة النصرة اول كلمة على لسانك شتم الذات الالهية يعني شعيط الجولاني ومعيط انت
29755,0,من يطالب بالمشاركة في وظائف الدولةو لا يطالب بالمشاركة في قرار السلم و الحربيشبهالواوي الذي بلع المنجلإسألوا كبار ال
29756,0,هل يستطيع اتحادات علماء المسلمين وهيئات الإفتاء في العالم الإسلامي إصدار فتوى بوجوب الجهاد في سبيل الله لنصرة شعب
29757,0,عاجل الإعلامي حسين مرتضى الجيش السوري وحلفائه يضبط مقر قيادة لإرهابيي جبهة النصرة في غرب التمانعة بريف إدلب الج
29759,0,تعزيزات قادمة من مأرب والجوف نصرة لأبطال شبوة الأحرار الذين لا يقبلون الضيم والعبودية شرعية بالقوة العسكرية
29761,0,المستوطنة القتيلة في دوليب حيث أصيب أبيها الحخام المتطرف وأخيها الجندي في جيش الاحتلال
29762,0,صورة المستوطنة القتيلة في دوليب حيث أصيب أبيها الحخام المتطرف وأخيها الجندي في جيش الاحتلال
29764,0,ماهو تعالوا نتحدث بالعقل والمنطق من ساند التحالف وحرر من اليمن من يد إيران ومن قضى على داعش والقاعدة هم المسلحة
29767,0,إسماعيل هنية نحن نقاتل على جبهة نصرة للقدس وحق العودة عاجل
29770,0,ماقبل تحرير مورك غير ما بعد مورك الضربة القاسمة للاحتلال التركي تحية حب لأبطال الجيش العربي السوري وللحلفاء الشرفاء
29773,0,الجميل حلم الدولة القوية الكتائب اللبنانيةمن البشير الى السامي
29778,0,السوريين يعلمون تماما مدى كذب إعلام الأسد هذه التغريدة تقول بها ان جندي من الجيش العربي السوري يتحدى ال
29779,0,هل ستقوم الدولة باغلاق مئات المعاهد والمدارس الشرعية التي افتتحها الاخوان في مناطق سيطرة الارهابيين بعد تحريرها أم
29780,1,كلنا حاضرون لنكون جند مجندة تحت راية الكتائب فنحن أبناء السيد نصرالله لا نعرف معنى لكلمة حدود ولا أنظمة و قوانين ق
29807,0,رغما على انوفكم يا ال سعود يامن قتلتم شبابنا وفجرتم بلادنا وادخلتم داعش لنا تبقى ايران الحليف الاو
29809,0,اي تقدم للجيش باتجاه صنعا بيقصفه الطيران وقد حدث اكثر من مره واستشهد قاده كتائب
29813,0,كتائب حزب الله بعد انقضاء المواجهة مع داعش انتقلت اميركا الى مرحلة الاستهداف المباشر لمواقع الحشد الشعبي
29818,0,هكذا خطط أمير النصرة السابق في مالك التلة ، لنقل المعركة من إلى عبر احتلال مناطق لب
29820,0,مراسل تلفزيون الخبر في اشتباكات بين عناصر الجيش العربي السوري ومسلحي جبهة النصرة في حي الراشدين ، بالتزامن م
29821,0,مراسل تلفزيون الخبر في استشهاد شخص في حي الخالدية نتيجة اصابته برصاص قناص مسلحي النصرة المتواجدين محيط معامل البليرمون
29830,0,الحرب علي صحة المصريين تتولاها الإخوان بايادي اخوان رابعه اللي كانوا بيطلعوا الوقفة ب ٢٠٠ جنيه ومش لاقيين يكلوااصبحوا د
29833,1,داعش طلعت مجوسيه بنضركم زين سيارات تحمل ارقام سعوديه شنو هم مجوسيه والسعوديين الانتحاريين وغيره
29835,0,جبهة النصرة وفيلق الموك
29839,0,معركة نهاوندمن أعظم معارك المسلمين حدثت عام هجري قاد النعمان بن مقرن جيش المسلمين ثلاثين ألف مقاتل
29842,0,وكأن الحشد ليس عراقي واين كانت افواهكم على خيانة الفلاحي للجيش العراقي الباسل سيادة الدولة من سيادة الحشد
29846,0,الأحبة المدافعين عن فصائلهم نشكر جهودكم لكن بلا التشبيح عندما نعطي رأينا بعيدا عن اي أجندة سوى نصرة المستضعفين تقبل
29847,0,اسمعوا يا ناس بعد لا يجي واحد يگول مو اسرائيل اخوان اسرائيل تقرع طبول الحرب مع ايران والساحة هي العراق ولا
29848,1,حرق صور زعيم جبهة النصرة ابو محمد الجولاني في ادلب بعد انسحاب المسلحين من خان شيخون
29849,0,الباطل والحق في صراع دائم منذ ظهور الدعوة الإسلامية الى يوم الدين وسيكون الحرب ع الحق شديد وشديد جدا ولكن في ال
29853,0,مو صرلك سنين تشتغل مع الاخوان المسلمين يا نشار
29856,0,مريض وخليفته ضابط سابق بجيش
29858,0,الدولة العثمانية تكفير الصحابة وأمهات المؤمنين معناه إعلان حرب
29864,0,صحيفة بريطانية البغدادي مريض ويضع داعش تحت إمرة الأستاذ
29866,0,مواقع إعلامية معارضة مقتل أحد المسؤولين في ما يسمى حراس الدين تنظيم القاعدة المدعو أبو خلاد الم
29872,0,يا دمدوم دخلك ليش ما تذكرتي حرب تموز و ليش ما تذكرتي تحرير ايار و ليش ما تذكرتي قانا ، اذا بدك بقلك ع دواء بينشط الذاكرة
29873,0,سامحني يعني صورتك بشعر ناقص ليها سفين و علم اسود و تبقي ف كتائب تنظيم الدوله
29874,0,يا اخي انت قيادي في جيش العزة والله اني استحي أمام اسم جيش العزة المجاهدين الأبطال يؤلمني عندما أر
29876,0,اللهم انصر اخواننا المجاهدين والمستضعفين في كل مكان يذكر فيه اسمك يا رب العالمين
29878,1,الجولاني يعلن أن هيئة تحرير الشام لن تنسحب من المنطقة العازلة في شمال غرب سوريا
29887,0,اي استراتيجية لا تكون تحت امرة الدولة والجيش تصبح تسليما لقرار الدفاع لا استراتيجية صوت السيادة
29890,1,اقسم بالله انه مخك ضارب البيان مزور وحتى الحمار الي دبلجه نسي انه جبهة تحرير الشام اندمجت وصارت هيئ
29892,0,إذاعة جيش الاحتلال ارتفاع عدد حالات الإجهاض بين مجندات الجيش الإسرائيلي خلال العام الماضي ، حيث فوجئ سلاح الطب في الجيش ب
29893,0,بيان جيش الاحتلال قبل قليل أغارت مقاتلات حربية على عدد من الأهداف الإرهابية في موقع بحري تابع لمنظمة حماس في شمال
29896,0,امريكا هي السبب الاول والمعارض الاول لتسليح العراق وجعله قوة اقليمية عند دخول داعش لم يكن العراق يمتلك طائرات حربية
29898,0,من هو الأمير الذي تتوقع ان يربح في حرب الخلافة ؟
29899,0,رواد الاقصى ذكرى احراق المسجد الاقصىيا قدس مهما باعدوا بينناففي غد جيش الهدى يزحفكتائب الإيمان قد باي
29910,0,نفذت الدولة المصرية اليوم حكم الإعدام ب متهمين بالارهاب من الاخوان المسلمين قرأت تغريدات كثيرة تبكي وتنتحب وتستشهد ب
29933,0,ستعود لكن ليس بالشعارات و المهرجانات و ذكرك ليس كل سنة في ٣١ أب انت معنا في ساحات الجهاد في تحرير ٢٠٠٠ و انتصار تموز و كنت
29941,0,وعيسى قائدا الحقانهزامية سلاطين التيمية تسببت بالتحاق المسلمين بجيوش الغزاة
29964,1,تركيا هي من ادخلت داعش وماحش وفاحش والنصرة واخواتها لسوريا ودعمتهم بالاسلحة حتى فتكوا با
29965,0,قائد الثورة الإسلامية السيد علي الخامنئي يستقبل رئيس وأعضاء الحكومة الايرانية ويؤكد فشل الأعداء بتحقيق طموحاتهم السيد الخا
29971,0,صح لسانك بس كون مكمل شجاعتك وكايل يسمونه قبل جيش المالكي هو المالكي اصلن حرام جندي واحد يصير بحمايته
29972,0,كلام اوهام الحشد الشعبي لم ولن يتعاون مع الامريكي لتحرير المدن المحتلة من قبل داعش في شمال العراق
29976,1,داعش والنصرة وبقية فصائل الارهاب قتلت نص مليون سوري و الحمقى يتهمون من دافع عن سوريا وشعبه
29993,1,مفتي جبهة النصرة يحرض على قتال الجيش الليبي فيديو
29996,0,إذاعة جيش الاحتلال ارتفاع عدد حالات الإجهاض بين مجندات الجيش الإسرائيلي خلال العام الماضي ، فوجئ سلاح الطب في الجيش بالزيا
30006,0,لنكن واقعيين نعم هناك تخاذل من بعض الكتائب المقاتلة وهناك خيانات وهناك اتباع للممولين وهناك غدر القاعدة
30011,0,بهذا كلامك اعترفت انك طائفي وعنصري وليش كل أهل السنه اعتقلوا وتكهربوا الا إذا كنت تنمي الى داعش او القاعدة
30023,0,تنسيقيات المسلحينمقتل أحد المسؤولين الشرعيين ، في هيئة تحرير الشام جبهة النصرة المدعو أبو البراء بنيران
30026,0,ثم قائدا للواء رفح في كتائب القسام وعضوا في المجلس العسكري العام ، وقد شهد لواء رفح تحت إمرته الجولات والصولات مع
30075,0,لماذا لا تتذكروا ارهابكم وارهاب دولتكم ضد المسلمين من حملتكم الاولى ضد الدولة الإسلامية مرورا بوعد بلفور
30078,0,المرحلة الحالية من مرحلة استكمال داعش تتطلب المزيد من الجهد لتعقب وملاحقة خلايا التنظيم و التي يسعى جاهدا لإعادة تنظيم
30079,0,هذه الصورة هي للجيش الأمريكي بعد خسارته في حرب فيتنام بعد صعود اخر عسكري أميريكي قام الجندي برفس السلم الذي كان علي
30082,0,في الصورة الأولىجنود لواء شكيد الصهيوني قبل شروعهم في قتل أسرى مصريين في حرب بناء على تعليمات قائد اللواء بنيامين ب
30092,0,جرائم مرتزقة اردوغان تحرير سكة الحديد في عفرين على يد ابطال الجيش السوري الحر ونقلها الى تركيا
30097,0,صراع أجنحة يفجر علاقة جبهة التحرير ومنظمة المحاربين في الجزائر
30099,0,عبارات اخوانكم المجاهدين ب كفرنبودة الديمقراطية شرك وتخلف العلمانية كفر الأركيلة حراموالله برافو حاولو أتحفونا بإبد
30102,0,كافي تزامطون بولد الملحة سيادة النائب داعش كانت تحتل ثلث العراق ولم نرى ابن مسؤل في الدولة قد استش
30109,0,وتدخل داعش مرة ثانية والخونة بالجيش ينهزمون ويسلمون سلاحهم لداعش عادي عادي
30114,0,شكلت هذه الحرب فصلا نوعيا في فصول انكفاء الدولة اللبنانية وتضعضعها ، لصالح صعود منطق الميليشيا ، الذي رسخ الاصطفافات المذهبي
30115,0,بقاء الجولاني وكلابه في إدلب هو أحد أهم أسباب تأخر النصر عن الثورة السورية عدو الثورة
30118,0,طائرات أمريكية تحمل مساعدات لقاعدة تتبع لتنظيم داعش الارهابي في
30119,0,الدول الإسلامية عليها واجب الوقوف مع المسلمين في كشمير ، النظام الحاكم في الهند هندوسي حاقد على المسلمين ، والشعب المسل
30120,0,كسم حركة التحرير الوطني الفلسطيني فتح كسم حركة المقاومة الإسلامية حماس جهاد الإسلامي كسم الجبهة شعبية لتحرير ف
30124,0,كلامك اغلى من الدهب الله يرحمك يا قائد كل حياته منذ الصغر هي لتحرير فلسطين واقامة الدولة كتير قياد
30125,0,أحسنت شيخنا الجليل موفقين انشأ آلله لنصرة ال الصدر الكرام وجميع المسلمين
30126,0,حفل تخريج فوج من طلائع التحرير في المخيمات الصيفية في قطاع غزة وهذا يثبت اهتمام كتائب القسام في صناعة جيل التحرير ا
30130,0,دخول روسيا باسالبيها الثنين هو غير ميزان القوى في حرب سورياما تنسى مافيا داعش القابضة اللي افشلت ال
30131,0,الولايات المتحدة تحذر تنظيم داعش الإرهابي لايزال يشكل تهديدا
30132,0,مو كافي لان بعد تحرير واحد ضل يقتل ثاني على موضوع ثارات لان اهواي من ابنائهم صارو مع داعش اذا حابين اثبتو
30135,0,احد قيادات تنظيم هيئة تحرير الشام عبد الله المحيسني يستصرخ ارهابييه في سوريا للذهاب الى ليبيا للقتال في طرابلس ضد الجيش
30140,1,خليط من الكفار والمشركين والنصيرية والملحدين يقاتلون على جبهات ريف الجنوبي بإذن الله تعالى المجاهدين راح يسح
30141,0,أنتم لاتريدون ولاتشجعون الدعاة المعتدلين حيث هدفكم دائما هو إبراز الاسلام المشوه بصورة داعش والقاعدة
30142,0,المسلمون احذروا التيميةإن الخلافة والإمامة جعل إلهي بخلاف الفكر التيمي التكفيري
30143,0,يا أستاذ حمزة ارحم عقلك قبل عقولنا لا وجود لجبهة النصرة من يقاتل هم أبناء ادلب وحما
30145,0,الموديل الجديد حته بنت ابو بكر البغدادي سوته سبقوها بي مشمش الكربلائية وغيرها هي داعشية ومن الفلوجة تسوي حساب وتك
30150,0,شي مرة ان تبدأ ملامح ثورة شعبية عابرة للطوائف والمذاهب تريد استرداد حقوق الدولة والشعب
30156,0,فقط من هيئة تحرير الشام اوقفو الجيش الأحمر الروسي اربعة شهور على ابواب شيخوننعم هم لكن لا تنسى انهم
30159,0,المجاهدلا تغتر بكثرة عملك وجهادك وتتكبر على أخوانك المسلمين فإنك لا تدري أقبل الله عملك أم لا
30163,0,خوش علاك هي بدها منطقة امنة شرق الفرات تحترق ادلب شو خسرانة منه بترتاح من بقايا داعش والنصرة بادلب وبتقول
30168,0,الأصول أن هذه الحرب العربية ضد الاسلامية والإسلامية ضد العرب وإسراءيل تساعد بعضهم وتقتل البعض ا
30171,0,والله اكثر نكسه للزراعة صارت بحداث داعش وره التحرير حكومه تمنع اهالي صلاح الدين يرجعون سنتين يالل
30172,0,فصائل المعارضة المسلحة يعني جبهة النصرة القاعدة يافندم
30174,0,ثورة الاحرار الكارهين لظلم ولولا دخول خفافيش الليل لكانتاصلحت حال الامه الاسلاميه والعربيه
30176,0,يكفي حزب الله فخرا انه حرر ربع مساحة لبنان وحمى الحدود من من الوهابيين مثل داعش والنصرة ما منع لبنا
30177,0,يصادف اليوم ذكرى عيد الغدير الاغر سنة ١٠هوبيعة المسلمين لأمير المؤمنين الامام علي عليه السلام بالخلافة سنة ٣٥ه الشيخ م
30180,0,الانتصارات التي تحققت تثبت تصميم الشعب والجيش على الاستمرار بضرب الإرهابيين حتى تحرير آخر شبر من الأراضي السورية
30184,0,رأى مركز أبحاث أمني أمريكي ، أنه من الخطأ افتراض أن تنظيم هزم كليا لأنه لا يزال يشكل خطرا على العالم وبدأ يعاود الظهو
30185,0,كان من الأجدر ان لا تتوقف الحرب في سوريا الى ان يتم تحرير ادلب مع اخر شبر من ارض سوريا شاء من شاء وآبى
30186,0,تمكنت الجامعة الإسلامية من بناء شبكة كبيرة من العلاقات الدولية ، ونفذت اتفاقات تعاون وتوأمة مع جامعة ومعهد أكاديمي من أشهر
30187,0,ثورة سوريه مستمرة ان شاء اللهوبدنا نتصر عكل خان ثورةالله يحميه جيش احرارنحن مستمرون ان شاء الله
30188,0,ثورة صوتنا اللبنانية حضرة وزير البيئة بدك مطمر لحالك
30191,0,متأكد انه بس جبهة النصرة موجودة بالمدينة ؟ وباقي الفصائل ليش ما ذكرتهم والمدنيين يلي تم تهجيرهم
30194,0,هلئ الجولاني انبسطلسا بدو يفاوض ها الفصيل وذاك الفصيل وهذا مابصير يدخل للجبهة واذا دخل عا الجبهة ما
30205,0,عيدك يا ابا الحسن عيد المجاهدين والاحرار في العالم السلام عليك يا ابا الفقراء
30213,0,اللهم طهر بلادنا وبلاد المسلمين من كل عدو بحق محمد وآل محمد
30214,0,اللهم انا نسألك جنبك اللهم كن للمستضعفين من المسلميناللهم ايد المجاهدين الصادقيناللهم انصرهم وثبت قلوبهم واقدامه
30215,0,الواحد من يرد على الناس لازم يكون رده منطقي وواقعي لاتنضيم القاعدة ايراني ولا داعش ايراني ولا
30217,0,اللهم في ساعات الفجر نسأل الله العلي العظيم ان تثبت قلوب المجاهدين الثوار و تنصرهم على القوم الكافرين خان شيخون
30239,0,نهنئ الأمة الإسلامية والمسلمين وخاصتا الحاقدين والمغرضين بحلول الغدير الغدير
30244,0,لم أجد أكثر سفاهة من هذه التغريدة ، لأن تركيا تدافع عن جبهة النصرة الإرهابية وهي جبهة فيها توليفة مسلحين من عشرات الدول
30254,0,يجمع أنصار المهديانهزامية سلاطين التيمية تسببت بالتحاق المسلمين بجيوش الغزاة
30257,0,ردا على المحافظ البرتقالي نقول عندما كان اللواء ريفي بالسلطة قدم استقالته حتى ما يكون شريك بالفساد و الفاسدين ، للتذكير فقط ثورة
30262,0,الذكرى الخامسة لانتحار الشابة الايزيدية جيلان برجس انتحرت قبل ان يطالها رجس داعشلينحني البشرية جميعآ إجلالا وا
30264,0,ريف ادلب نفوق الارهابي رائد كامل الجابر على أيدي أبطال الجيش العربي السوري وحلفائه على جبهة ريف ادلب الجنوب
30265,0,الجيش العربي السوري وحلفائه يسيطر على غرف عمليات إرهابيي جبهة النصرة في كهوف حرش خان شيخون ، ومغارات وادي الفتح و
30270,0,رئيس حركة في منطقة الخارج ماهر صلاح لسنا جزءا من أي مشروع آخر سوى تحرير بلادنا ، ولسنا جزءا من أي محور أو أي مشروع
30271,0,الجيش الذي لا يقهر القناة العبرية روني دانيال يوصف ما جرى في لواء جولاني قبل أسبوعين في الاشتباك مع أحد ال
30273,0,والكفار يظحكون علينا نحن المسلمين وحكامنا صامتون لانهم مجبولون على الخيانه ،
30300,0,الوطني الأول الفرقة ١٤ لواء السلطان سليمان شاه اللواء١٤٢ دورة أشبال أرطغرل جانب من تدريبات ك مد
30306,0,نقاط المراقبة التركية في أدلب تشبه نقاط المراقبة الدولية في البوسنة أبان الحرب على المسلمين هناك والتواطئ التركي
30307,0,السوري الحر لواء السلطان سليمان شاهاجتماع القائد العام للواء محمد الجاسم ابو عمشة مع وجهاء ناحية الشيخ حديد و
30308,0,للتذكير فقط ، اعتداء الحوثيين ع الدولة وع اليمنيين في مناطق عديده كان قبل العدوان حسب توصيفهم ، والتحالف دخل الحرب لإعادة الش
30314,0,ما هي الاوضاع في خان شيخون اللهم ثبت اقدام المجاهدين الاحرار خان شيخون
30325,0,مرت بتجربة تتحدث فيها عن موقف إنساني لجندي تر وي أن في حرب دخل جندي إسرائيلي على زوجة عمها وعلى كتفها
30326,0,العراق يعتقل قياديا مقربا من زعيم داعش أبو بكر البغدادي
30339,0,الحرب التي شنت على الجيش من قبل القوات هي بالحقيقة حرب ل
30345,0,عروس المدائن في الدياحة ومرتع الأخوان المجرمين عفوا المسلمين وحامي مرتع قيادات داعش القذرة بلدانهم بنعيم وبلداننا في ضيم
30347,1,النداءها هي الشامية ترسل الجند تبذل العتاد في سبيل نصرة أهلها في حماه لا غريب عليكم فأنتم كما عهدناكم سباقين لطحن النصيرية
30349,0,بريطانيا تسقط الجنسية عن مواطن التحق بتنظيم الدولة في
30350,0,يامنافق اما تستحي لو أن الدولة العثمانية موجودة لمارأينا الجرائم ضد المسلمين في كل بقاع الأرض ولا ظ
30355,0,الصحيح اعفاء كل الشرعيه التي لم تقدم اي تحرير في الجبهات غير دعم الحوثي واطالة الحرب
30357,0,اختصار تاريخ الخلافة الإسلامية العثمانية العريق ، بما ذكرت إهانة للمسلمين على وجه الأرض
30360,0,وثائقي التحرير الثاني يروي اللحظات الأخيرة لتنظيم داعش على الحدود اللبنانية
30361,0,مقتل جنود نيجيريين في هجوم لتنظيم داعش
30365,0,أكيد جيش التواصل الالكتروني يحاول بشتى الطرق ان يصل الى هدفه الذي لم يصل اليه بالحرب الكونية على محو
30367,0,داعش يتوسع بشمال إفريقيا بسبب حفتر ، وخطايا الجيش الأمريكي مع حلفائه
30368,0,السعودية دولة مبارك كل المسلمين مع سعودية لو ذهب هذه الدولة اصبح اخطبوط الايران تزرع الدمار والارهاب
30370,0,حرب ترامب الاقتصادية استراتيجية نصر أم انتحار اقتصادي ؟
30374,0,الجولاني عميل ويده في الجيش الوطني فيلق الرحمن فالحذر الحذر ياثوار
30375,0,من الواضح أن رفض الجولاني دخول بعض الوحدات من الجيش الوطني ووضع قيود وشروط محاولة لإفراغ مفهوم المساندة والمؤازرة من م
30377,0,ضلت الشرعية الاخوانية في الفنادق على مدى سنوات وهم يرفعون اشارة النصر ويتبادلون التهاني امام مسؤلي التحالف لتأكيد الانتصار ثم
30380,0,سفارة جمهورية العراق في لاهاي تنظم ندوة ووقفة تضامنية بمناسبة الذكرى الخامسة لجرائم تنظيم داعش الارهابي ضد
30381,0,الفرصه الاخيره قدام الشعب تحريك الجبهات تحريك جيش المقدشي عدم التستر عن كل خاين هم
30383,0,لازم اخوان الشياطين واخواتن بالنصره والي متلن واسيادن الصهاينه يبعتن الجيش السوري لعند الحوريات
30393,0,مبارك للجمهورية العربية السورية قيادة وشعبا وجيشا تحرير مدينة خان شيخون الاستراتيجية في ادلب الجنوبي لاستكمال تحري
30395,0,تعزيزات الجيش الوطني احرار الشرقيه لتعزيز جبهات ريف حماه
30396,0,بعد سنوات من التطبيل والتزمير والنهيق والنباح لال سعود وكلابهم الوهابية داعش والقاعدة والنتيجة هزيمة كبرى للكلاب الوهابية
30406,0,جيش العراق سيد جيوش المنطقة ، حين كان الخليج يرتجف هلعا من داعش ، كان جيشنا يمزق اشلاء الغزاة بهامات عالية حل الجيش مطلب امر
30407,0,جيش العراق سيد جيوش المنطقة ، حين كان الخليج يرتجف هلعا من داعش ، كان جيشنا يمزق اشلاء الغزاة بهامات عالية
30423,0,هو لا بديل عن الجيش لكن حضرتك مو في فترة من الفترات كنت ضد الدولة وكانت عندك قناه لمقاومة كما كن
30424,0,الاخوان بالأساس جماعة و تنبثق عنها حزب جبهة العمل الاسلامي اما الجمعية المذكورة
30426,0,تحت جنح الظلام أفرغت سمومها على ارضناوتحت جنح انطلق الشعبي و العراقي لانقاذ وطنهم الحشد
30428,0,التنظيمات لم تملك بعد اختراقا سايبيري لتكنولوجيا الحراسة نموذج عن صور الكاميرات التي يستخدمها جيش الاحتلال كاميرات عا
30431,0,حتى العام لم يحصل أي متدين على رتبة لواء في الجيش الصهيوني ، لكن منذ ذلك الوقت حصل الكثير منهم على هذه الرتبة ، وتولو
30435,0,حرب علي غزة من قبل الجيش المصريهو السيسي بيعملها بس الشعب المصري صابر علي السيسي بالعافية وستكون تلك
30436,0,نستطيع أن نوقف هذه الحرب ضد اخواننا المسلمين في الهند بإعلان صغير من قبل الحكومات العربية وتحديدا الخليجية بإعا
30437,0,ايران تستفز المجتمع الدولي بواسطة الدولة العميقة ونشر المخدرات الجيش مطلب ايراني
30438,0,الجواب عندي هاد من زمان صحبة مع العرعوروتغازلو كتير صارو مع داعش العرعور انبسطوهاد صار معو نزيف سافر ل
30441,0,اللهم إنتقم منهم ومن ممن سكتعن نصرة المسلمين
30442,0,جنوبيه ولا مغربيهوالله المفروض من اخواننا في السعودية يسوون ثورة ويتزوجون من المغرب وروسيا لأن المهر عندكم
30444,0,عزمي بشارة عضو في تنظيم الاخوان
30447,0,ثالثا لا يجوز قتل الكافر المستأمن والمعاهد والذمي بحجة أن الكفار الآن يقتلون المسلمين رابعا الانتحار ل
30448,0,وكل التابعين لصهاينه من اخوان الشياطين والنصره ومن لف لفيفهم بدون ينزلوا تحت اجر الجيش السوري موبس خان شيخون
30455,0,اللهم فرج عن اخواننا المسلمين في كل مكان اللهم احفظهم و عافهم و اشف جرحاهم
30456,0,فتح جبهة جديدة على العدو أأمن من تكدس المجاهدين فتكثر الخسائر وتخور المعنويات فتح جبهة لا يقدر ع
30457,0,لا يحب الجيش ولا الوطن من يحمل لواء الدفاع عن العملاء في لبنان للعفو عن العملاء لا وطني ولا حر
30463,0,الوطني الأول الفرقة ١٤ لواء السلطان سليمان شاه اللواء١٤٢ دورة أشبال أرطغرل تدريبات قوات خاصة و
30464,0,الوطني الأول الفرقة ١٤ لواء السلطان سليمان شاه اللواء١٤٢ دورة أشبال أرطغرل تدريبات ك مهام خاصة
30466,0,الوطني السوري الفيلق الأول السلطان سليمان شاه المكتب الأمنيلحظة تفجير السيارة المفخخة
30472,0,تنظيم الدولة يعلن مسؤوليته عن التفجير الذي استهدف حفل زفاف غرب العاصمة الأفغانية وأدى لمقتل عشرات
30473,0,قائد القوة البحرية لحرس الثورة الإسلامية علي رضا تنكسيري وجود القوات الأجنبية يزعزع الأمن في المنطقة
30474,0,الجهاد استهداف الشبان الغاضبين ضد الارهاب الممنهج والحصار واقتحام الأقصى حرب معلنة على شعبنا الفلسطيني
30475,0,داعش يعلن مسؤوليته عن الهجوم الانتحاري الذي استهدف حفل زفاف في العاصمة الأفغانية أمس
30476,0,أ ف ب تنظيم الدولة الإسلامية يتبنى الهجوم الذي أوقع أكثر من ستين قتيلا في كابول
30477,0,اللهم اجعل هذا البلد آمنا مطمئنا ، رخاء سخاء ، وسائر بلاد المسلمين ، اللهم احفظ علينا أمننا ، وديننا ، وبلادنا اللهم من أر
30482,0,يطالبون السعودية بتحرير المسجد الأقصى من اليهود رغم أن عدد سكانها لا يتعدى من مجموع المسلمين أين دور ربما دورهم الأناشيد
30485,0,في حرب التحرير تحرر الجنوب بفضل التنوع في المقاومة بحيث ان الناس كلها اشتركت بالقتال ضد العدو الواحد
30494,0,لماذا اغتيل زهران علوش بينما الجولاني زعيم القاعدة حي يرزق وصامد حتى آخر مربع تحتله المعارضة السورية في إدل
30497,0,الغنوشي صف اول في الاخوان وهو اول من ارسل الجهاديين والنكاحات الى سورية
30499,0,فإن كنت لا تعرف عن مناصرته لجيش النظام ضد داعش فهذه مشكلتك انت وحاول ان تعرف حقيقة ذلك
30500,0,جيش الافلام هذا المسمى صار عند عوام المسلمين ومعروف لجميع المسلمين اعماله الإجرامية ب
30501,0,اوقفوا هذه الحرب الطائشة واحقنوا دماء المسلمين
30505,0,اللهم وحد كلمة المسلمين و انصرهم لا ناصر لهم إلا أنت و لا مغيث لهم إلا أنت إلهي لا تمكن كافرا و لا ملحدا
30507,0,اليوم الهيئة غدا جيش العزة بعد غد احرار الشام و الجبهة الوطنية الاسبوع القادم الجيش الحر الأسبوع الذي يليه درع الفرات و ا
30508,0,لم يبق مملوك ومولى معقد من لكنته وسحنته بيضاء أو سمراء وأجنبي وغريب عنا وعن بلادنا إلا واحتلنا وحكمنا باسم الخلافة وال
30509,0,بعد اجتماع هناك خطوات أساسية منها ضبط المعابر غير الشرعية وقرار حازم بإرسال الجيش وإقفالها وإلغاء كل العقود الوهمي
30511,0,الساحة الشامية في وضع حرب وتخبط لا توجد مؤسسات للتنظيم ولا الكفائات والإختصاصات في أماكنها وأنتم تنشرون أخطائنا وت
30513,0,دعائنا على الكفار ليس على المسلمين
30514,0,إن كانت داعش قد ارتكبت جرائم حرب اقتضى تشكيل تحالف دولي لأجل التخلص منها ، وهي فعلا قد ارتكبت جرائم ، فلماذا لا يتم تشك
30515,0,لو كانت هذه الصورة لأسرى تم قتلهم على يد تنظيم داعش لهجمت كل قوى العالم لتحرير المنطقة و تدمير التنظيمأليس نظام الأسد
30517,0,هذا أول تصريح تركي صريح عن هوية الصراع الجاري في سوريا الآنأردوغان المشكلة في المنطقة ليست في تنظيم داعش بل حرب م
30518,0,حرب أفغانستان واشنطن ستسحب آلاف جندي أمريكي بعد اتفاق مع حركة طالبان
30521,0,العراق المنهار في سيطر داعش علي الموصل الي عدد سكانها أكثر من مليون في دخل الجيش العراقي و مليشيات الحش
30523,0,الحديث عن حل النصرة فيه محاولة لتضليل الرأي العام ، والأمر خارج إرادة العنصر السوري البسيط في الجبهة أو المهاجر الف
30524,0,لم يعد يخفى على أحد ضرر عصابة جبهة النصرة والجولاني على أحدكنت قد كتبت قبل سنوات على الفيس وتويتر أني لا أخشى على إدلب من
30525,0,واهم من يظن أن هتش جبهة النصرة ستحل نفسها بنفسهاهذا التنظيم خرب كل الثورة السورية مشان مصلحته وما مستعد أنو يحل نفسه كر
30526,0,هيئة تحرير الشام لله دركم و على الله اجركم انتم أحد أهم ركائز الثورة السورية مع بقية الفصائل المناهضة للأسد
30528,0,تحرك المظاهرات الشعبية في ادلب وما حولها ضد وتنظيم النصرة خطوة بالاتجاه الصحيح ، وتساعد في تحجيم نفوذ الت
30533,0,عاما الفرق بين الصورتين ثورة العشرين ضد الإحتلال البريطاني ثورة الحشد ضد الإحتلال الداعشي
30546,0,شيخه موزه والاخوان المسلمين
30552,0,القيادة المركزية الأمريكية قواتنا وجهت ضربة لمنشأة تابعة لتنظيم شمالي ب رويترز نيوز
